repository_name,state,triage_state,created_at,expiration_date,severity,remediation_window,rule_name
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,java.spring.security.injection.tainted-sql-string.tainted-sql-string
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-07-12,medium,60,java.lang.security.audit.sqli.jdbc-sqli.jdbc-sqli
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,java.lang.security.audit.formatted-sql-string.formatted-sql-string
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,java.spring.security.injection.tainted-sql-string.tainted-sql-string
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-07-12,medium,60,java.lang.security.audit.sqli.jdbc-sqli.jdbc-sqli
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,java.lang.security.audit.formatted-sql-string.formatted-sql-string
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,java.spring.security.injection.tainted-sql-string.tainted-sql-string
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-07-12,medium,60,java.lang.security.audit.sqli.jdbc-sqli.jdbc-sqli
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,generic.secrets.security.detected-generic-secret.detected-generic-secret
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,java.lang.security.audit.formatted-sql-string.formatted-sql-string
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,java.lang.security.audit.formatted-sql-string.formatted-sql-string
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,java.lang.security.audit.formatted-sql-string.formatted-sql-string
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,java.lang.security.audit.formatted-sql-string.formatted-sql-string
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,java.lang.security.audit.formatted-sql-string.formatted-sql-string
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,java.lang.security.audit.formatted-sql-string.formatted-sql-string
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,java.lang.security.audit.formatted-sql-string.formatted-sql-string
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,java.lang.security.audit.formatted-sql-string.formatted-sql-string
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,java.lang.security.httpservlet-path-traversal.httpservlet-path-traversal
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,java.servlets.security.httpservlet-path-traversal.httpservlet-path-traversal
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,java.spring.security.injection.tainted-file-path.tainted-file-path
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,java.spring.security.injection.tainted-file-path.tainted-file-path
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,java.spring.security.injection.tainted-file-path.tainted-file-path
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,java.spring.security.injection.tainted-sql-string.tainted-sql-string
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,java.spring.security.injection.tainted-sql-string.tainted-sql-string
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,java.spring.security.injection.tainted-sql-string.tainted-sql-string
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,java.spring.security.injection.tainted-sql-string.tainted-sql-string
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,java.spring.security.injection.tainted-sql-string.tainted-sql-string
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,java.spring.security.injection.tainted-sql-string.tainted-sql-string
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,java.spring.security.injection.tainted-sql-string.tainted-sql-string
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,java.spring.security.injection.tainted-sql-string.tainted-sql-string
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,java.spring.security.injection.tainted-sql-string.tainted-sql-string
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,java.spring.security.injection.tainted-url-host.tainted-url-host
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,java.spring.security.injection.tainted-url-host.tainted-url-host
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,java.spring.security.objectinputstream-deserialization-spring.objectinputstream-deserialization-spring
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,java.spring.security.tainted-ssrf-spring-add.tainted-ssrf-spring-add
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,java.spring.spring-tainted-path-traversal.spring-tainted-path-traversal
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,java.spring.spring-tainted-path-traversal.spring-tainted-path-traversal
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,java.spring.spring-tainted-path-traversal.spring-tainted-path-traversal
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,javascript.browser.security.insecure-document-method.insecure-document-method
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,javascript.browser.security.insecure-document-method.insecure-document-method
